PassengerId,Age,Fare,Parch,SibSp,female,male,Pclass1,Pclass1,Pclass3,Embarked_C,Embarked_Q,Embarked_S,Survived
57,-0.659988030238,-0.440419607287,0,0,1,0,0,1,0,0,0,1,1
58,-0.0917498468247,-0.503657284535,0,0,0,1,0,0,1,1,0,0,0
59,-1.87222948819,-0.106907948814,2,1,1,0,0,1,0,0,0,1,1
60,-1.41763894146,0.263338327114,2,5,0,1,0,0,1,0,0,1,0
61,-0.584222939116,-0.503657284535,0,0,0,1,0,0,1,1,0,0,0
62,0.628018518832,0.903294031198,0,0,1,0,1,0,0,0,0,1,1
63,1.15837415668,0.970479713122,0,1,0,1,1,0,0,0,0,1,0
64,-1.94799457931,-0.104007847436,2,3,0,1,0,0,1,0,0,1,0
65,0.93107888332,-0.107472501882,0,0,0,1,1,0,0,1,0,0,0
66,-1.79646439707,-0.348664266488,1,1,0,1,0,0,1,1,0,0,1
67,-0.0538673012638,-0.440419607287,0,0,1,0,0,1,0,0,0,1,1
68,-0.811518212482,-0.485694056599,0,0,0,1,0,0,1,0,0,1,0
69,-0.963048394725,-0.490204680943,2,4,1,0,0,0,1,0,0,1,1
70,-0.281162574629,-0.475945849167,0,2,0,1,0,0,1,0,0,1,0
71,0.173427972102,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
72,-1.03881348585,0.263338327114,2,5,1,0,0,0,1,0,0,1,0
73,-0.659988030238,0.777622971484,0,0,0,1,0,1,0,0,0,1,0
74,-0.281162574629,-0.36396906816,0,1,0,1,0,0,1,1,0,0,0
75,0.173427972102,0.448863612469,0,0,0,1,0,0,1,0,0,1,1
76,-0.356927665751,-0.495521533469,0,0,0,1,0,0,1,0,0,1,0
77,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
78,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
79,-2.18816991816,-0.0827404373303,2,0,0,1,0,1,0,0,0,1,1
80,0.021897789858,-0.402234939143,0,0,1,0,0,0,1,0,0,1,1
81,-0.584222939116,-0.469420621067,0,0,0,1,0,0,1,0,0,1,0
82,-0.0538673012638,-0.459753616473,0,0,0,1,0,0,1,0,0,1,1
83,-0.281162574629,-0.492863107206,0,0,1,0,0,0,1,0,1,0,1
84,-0.129632392386,0.267205128951,0,0,0,1,1,0,0,0,0,1,0
85,-0.963048394725,-0.440419607287,0,0,1,0,0,1,0,0,0,1,1
86,0.249193063223,-0.336982658137,0,3,1,0,0,0,1,0,0,1,1
87,-1.03881348585,0.0211798620489,3,1,0,1,0,0,1,0,0,1,0
88,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
89,-0.508457847995,4.44141771239,2,3,1,0,1,0,0,0,0,1,1
90,-0.432692756873,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
91,-0.0538673012638,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
92,-0.73575312136,-0.491573528793,0,0,0,1,0,0,1,0,0,1,0
93,1.23413924781,0.539331308256,0,1,0,1,1,0,0,0,0,1,0
94,-0.281162574629,-0.245629464729,2,1,0,1,0,0,1,0,0,1,0
95,2.21908543239,-0.503255137144,0,0,0,1,0,0,1,0,0,1,0
96,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
97,3.12826652585,0.0265779174139,0,0,0,1,1,0,0,1,0,0,0
98,-0.508457847995,0.581543250513,1,0,0,1,1,0,0,1,0,0,1
99,0.324958154345,-0.198744492451,1,0,1,0,0,1,0,0,0,1,1
100,0.324958154345,-0.140742464891,0,1,0,1,0,1,0,0,0,1,0
101,-0.129632392386,-0.490769234011,0,0,1,0,0,0,1,0,0,1,0
102,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
103,-0.659988030238,0.850850531279,1,0,0,1,1,0,0,0,0,1,0
104,0.249193063223,-0.476106321444,0,0,0,1,0,0,1,0,0,1,0
105,0.552253427711,-0.490204680943,0,2,0,1,0,0,1,0,0,1,0
106,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
107,-0.659988030238,-0.495521533469,0,0,1,0,0,0,1,0,0,1,1
108,-0.129632392386,-0.493104782321,0,0,0,1,0,0,1,0,0,1,1
109,0.628018518832,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
110,-0.281162574629,-0.176510381886,0,1,1,0,0,0,1,0,1,0,1
111,1.30990433893,0.361941773967,0,0,0,1,1,0,0,0,0,1,0
112,-1.15246112253,-0.36396906816,0,1,1,0,0,0,1,1,0,0,0
113,-0.584222939116,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
114,-0.73575312136,-0.453470063488,0,1,1,0,0,0,1,0,0,1,0
115,-0.963048394725,-0.363889798722,0,0,1,0,0,0,1,1,0,0,0
116,-0.659988030238,-0.490204680943,0,0,0,1,0,0,1,0,0,1,0
117,3.09038398029,-0.49358813255,0,0,0,1,0,0,1,0,1,0,0
118,-0.0538673012638,-0.237412510825,0,1,0,1,0,1,0,0,0,1,0
119,-0.432692756873,4.14214271738,1,0,0,1,1,0,0,1,0,0,0
120,-2.09952476155,-0.0387555664302,2,4,1,0,0,0,1,0,0,1,0
121,-0.659988030238,0.777622971484,0,2,0,1,0,1,0,0,0,1,0
122,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
123,0.211310517662,-0.062037580293,0,1,0,1,0,1,0,1,0,0,0
124,0.211310517662,-0.392084584319,0,0,1,0,0,1,0,0,0,1,1
125,1.84025997678,0.850850531279,1,0,0,1,1,0,0,0,0,1,0
126,-1.34187385033,-0.426079572673,0,1,0,1,0,0,1,1,0,0,1
127,-0.129632392386,-0.49358813255,0,0,0,1,0,0,1,0,1,0,0
128,-0.432692756873,-0.505349010339,0,0,0,1,0,0,1,0,0,1,1
129,-0.281162574629,-0.211151126146,1,1,1,0,0,0,1,1,0,0,1
130,1.15837415668,-0.50857198967,0,0,0,1,0,0,1,0,0,1,0
131,0.249193063223,-0.490769234011,0,0,0,1,0,0,1,1,0,0,0
132,-0.73575312136,-0.507121938981,0,0,0,1,0,0,1,0,0,1,0
133,1.30990433893,-0.363083570539,0,1,1,0,0,0,1,0,0,1,0
134,-0.0538673012638,-0.140742464891,0,1,1,0,0,1,0,0,0,1,1
135,-0.356927665751,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
136,-0.508457847995,-0.352531068325,0,0,0,1,0,1,0,1,0,0,0
137,-0.811518212482,-0.135265140088,2,0,1,0,1,0,0,0,0,1,1
138,0.552253427711,0.383209184072,0,1,0,1,1,0,0,0,0,1,0
139,-1.03881348585,-0.465230941276,0,0,0,1,0,0,1,0,0,1,0
140,-0.432692756873,0.887826823848,0,0,0,1,1,0,0,1,0,0,0
141,-0.281162574629,-0.348664266488,2,0,1,0,0,0,1,1,0,0,0
142,-0.584222939116,-0.49358813255,0,0,1,0,0,0,1,0,0,1,1
143,-0.432692756873,-0.336982658137,0,1,1,0,0,0,1,0,0,1,1
144,-0.811518212482,-0.512922141737,0,0,0,1,0,0,1,0,1,0,0
145,-0.887283303604,-0.4210855981,0,0,0,1,0,1,0,0,0,1,0
146,-0.811518212482,0.0670981338676,1,1,0,1,0,1,0,0,0,1,0
147,-0.205397483507,-0.49270263493,0,0,0,1,0,0,1,0,0,1,1
148,-1.5691691237,0.0211798620489,2,2,1,0,0,0,1,0,0,1,0
149,0.51437088215,-0.140742464891,2,0,0,1,0,1,0,0,0,1,0
150,0.93107888332,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
151,1.61296470342,-0.401268238683,0,0,0,1,0,1,0,0,0,1,0
152,-0.584222939116,0.644218308094,0,1,1,0,1,0,0,0,0,1,1
153,1.95390761346,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
154,0.817431246637,-0.363083570539,2,0,0,1,0,0,1,0,0,1,0
155,-0.129632392386,-0.50204676157,0,0,0,1,0,0,1,0,0,1,0
156,1.61296470342,0.543279312932,1,0,0,1,1,0,0,1,0,0,0
157,-1.03881348585,-0.493911010504,0,0,1,0,0,0,1,0,1,0,1
158,0.021897789858,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
159,-0.129632392386,-0.475945849167,0,0,0,1,0,0,1,0,0,1,0
160,-1.79646439707,0.701253635196,2,8,0,1,0,0,1,0,0,1,0
161,1.08260906556,-0.33214915584,1,0,0,1,0,0,1,0,0,1,0
162,0.779548701076,-0.338916059056,0,0,1,0,0,1,0,0,0,1,1
163,-0.281162574629,-0.493104782321,0,0,0,1,0,0,1,0,0,1,0
164,-0.963048394725,-0.475945849167,0,0,0,1,0,0,1,0,0,1,0
165,-2.17528985267,0.123891785854,1,4,0,1,0,0,1,0,0,1,0
166,-1.5691691237,-0.246596165189,2,0,0,1,0,0,1,0,0,1,1
167,0.628018518832,0.419943801527,1,0,1,0,1,0,0,0,0,1,1
168,1.15837415668,-0.104007847436,4,1,1,0,0,0,1,0,0,1,0
169,0.93107888332,-0.14219251558,0,0,0,1,1,0,0,0,0,1,0
170,-0.129632392386,0.448863612469,0,0,0,1,0,0,1,0,0,1,0
171,2.37061561463,0.00426260401046,0,0,0,1,1,0,0,0,0,1,0
172,-1.94799457931,-0.0803236861819,1,4,0,1,0,0,1,0,1,0,0
173,-2.17528985267,-0.428175379269,1,1,1,0,0,0,1,0,0,1,1
174,-0.659988030238,-0.490204680943,0,0,0,1,0,0,1,0,0,1,0
175,1.99179015902,-0.0499538245512,0,0,0,1,1,0,0,1,0,0,0
176,-0.887283303604,-0.491573528793,1,1,0,1,0,0,1,0,0,1,0
177,-1.79646439707,-0.15105329199,1,3,0,1,0,0,1,0,0,1,0
178,1.53719961229,-0.0882989649715,0,0,1,0,1,0,0,1,0,0,0
179,0.021897789858,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
180,0.476488336589,-0.643426703748,0,0,0,1,0,0,1,0,0,1,0
181,-0.281162574629,0.701253635196,2,8,1,0,0,0,1,0,0,1,0
182,0.249193063223,-0.352449865486,0,0,0,1,0,1,0,1,0,0,0
183,-1.5691691237,-0.0365804903967,2,4,0,1,0,0,1,0,0,1,0
184,-2.17528985267,0.110599654538,1,2,0,1,0,1,0,0,0,1,1
185,-1.94799457931,-0.217595151408,2,0,1,0,0,0,1,0,0,1,1
186,0.93107888332,0.323273755593,0,0,0,1,1,0,0,0,0,1,0
187,-0.281162574629,-0.343749561352,0,1,1,0,0,0,1,0,1,0,1
188,1.15837415668,-0.130108759838,0,0,0,1,1,0,0,0,0,1,1
189,0.779548701076,-0.343749561352,1,1,0,1,0,0,1,0,1,0,0
190,0.476488336589,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
191,0.173427972102,-0.392084584319,0,0,1,0,0,1,0,0,0,1,1
192,-0.811518212482,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
193,-0.811518212482,-0.491573528793,0,1,1,0,0,0,1,0,0,1,1
194,-2.02375967043,-0.140742464891,1,1,0,1,0,1,0,0,0,1,1
195,1.08260906556,-0.107472501882,0,0,1,0,1,0,0,1,0,0,1
196,2.14332034127,2.18940778951,0,0,1,0,1,0,0,1,0,0,1
197,-0.129632392386,-0.49358813255,0,0,0,1,0,0,1,0,1,0,0
198,0.93107888332,-0.48093982374,1,0,0,1,0,0,1,0,0,1,0
199,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
200,-0.432692756873,-0.392084584319,0,0,1,0,0,1,0,0,0,1,0
201,-0.129632392386,-0.459753616473,0,0,0,1,0,0,1,0,0,1,0
202,-0.129632392386,0.701253635196,2,8,0,1,0,0,1,0,0,1,0
203,0.324958154345,-0.517836846872,0,0,0,1,0,0,1,0,0,1,0
204,1.19625670225,-0.503738487373,0,0,0,1,0,0,1,1,0,0,0
205,-0.887283303604,-0.487787929794,0,0,0,1,0,0,1,0,0,1,1
206,-2.09952476155,-0.441144632631,1,0,1,0,0,0,1,0,0,1,0
207,0.173427972102,-0.336982658137,0,1,0,1,0,0,1,0,0,1,0
208,-0.281162574629,-0.280189006151,0,0,0,1,0,0,1,1,0,0,1
209,-1.03881348585,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
210,0.779548701076,-0.0440724189566,0,0,0,1,1,0,0,1,0,0,1
211,-0.432692756873,-0.507121938981,0,0,0,1,0,0,1,0,0,1,0
212,0.400723245467,-0.237412510825,0,0,1,0,0,1,0,0,0,1,1
213,-0.584222939116,-0.503255137144,0,0,0,1,0,0,1,0,0,1,0
214,0.021897789858,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
215,-0.129632392386,-0.49358813255,0,1,0,1,0,0,1,0,1,0,0
216,0.0976628809798,1.54663318689,0,1,1,0,1,0,0,1,0,0,1
217,-0.205397483507,-0.490204680943,0,0,1,0,0,0,1,0,0,1,1
218,0.93107888332,-0.121408455704,0,1,0,1,0,1,0,0,0,1,0
219,0.173427972102,0.83159772493,0,0,1,0,1,0,0,1,0,0,1
220,0.021897789858,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
221,-1.03881348585,-0.487787929794,0,0,0,1,0,0,1,0,0,1,1
222,-0.205397483507,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
223,1.61296470342,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
224,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
225,0.628018518832,1.09663412307,0,1,0,1,1,0,0,0,0,1,1
226,-0.584222939116,-0.462653717851,0,0,0,1,0,0,1,0,0,1,0
227,-0.811518212482,-0.440419607287,0,0,0,1,0,1,0,0,0,1,1
228,-0.697870575799,-0.503255137144,0,0,0,1,0,0,1,0,0,1,0
229,-0.887283303604,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
230,-0.281162574629,-0.15105329199,1,3,1,0,0,0,1,0,0,1,0
231,0.400723245467,0.970479713122,0,1,1,0,1,0,0,0,0,1,1
232,-0.0538673012638,-0.493104782321,0,0,0,1,0,0,1,0,0,1,0
233,2.21908543239,-0.382417579726,0,0,0,1,0,1,0,0,0,1,0
234,-1.87222948819,-0.0365804903967,2,4,1,0,0,0,1,0,0,1,1
235,-0.432692756873,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
236,-0.281162574629,-0.497454934388,0,0,1,0,0,0,1,0,0,1,0
237,1.08260906556,-0.140742464891,0,1,0,1,0,1,0,0,0,1,0
238,-1.64493421482,-0.135908962594,2,0,1,0,0,1,0,0,0,1,1
239,-0.811518212482,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
240,0.249193063223,-0.40610174098,0,0,0,1,0,1,0,0,0,1,0
241,-0.281162574629,-0.36396906816,0,1,1,0,0,0,1,1,0,0,0
242,-0.281162574629,-0.343749561352,0,1,1,0,0,0,1,0,1,0,1
243,-0.0538673012638,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
244,-0.584222939116,-0.505671888292,0,0,0,1,0,0,1,0,0,1,0
245,0.021897789858,-0.503738487373,0,0,0,1,0,0,1,1,0,0,0
246,1.08260906556,1.09663412307,0,2,0,1,1,0,0,0,1,0,0
247,-0.356927665751,-0.493104782321,0,0,1,0,0,0,1,0,0,1,0
248,-0.432692756873,-0.363083570539,2,0,1,0,0,1,0,0,0,1,1
249,0.552253427711,0.372656681858,1,1,0,1,1,0,0,0,0,1,1
250,1.84025997678,-0.140742464891,0,1,0,1,0,1,0,0,0,1,0
251,-0.129632392386,-0.503255137144,0,0,0,1,0,0,1,0,0,1,0
252,-0.0538673012638,-0.441144632631,1,1,1,0,0,0,1,0,0,1,0
253,2.44638070576,-0.130108759838,0,0,0,1,1,0,0,0,0,1,0
254,0.021897789858,-0.33214915584,0,1,0,1,0,0,1,0,0,1,0
255,0.855313792198,-0.252638043059,2,0,1,0,0,0,1,0,0,1,0
256,-0.0538673012638,-0.348664266488,2,0,1,0,0,0,1,1,0,0,1
257,0.628018518832,0.887826823848,0,0,1,0,1,0,0,1,0,0,1
258,0.021897789858,1.02896509091,0,0,1,0,1,0,0,0,0,1,1
259,0.400723245467,9.26195075573,0,0,1,0,1,0,0,1,0,0,1
260,1.53719961229,-0.140742464891,1,0,1,0,0,1,0,0,0,1,1
261,-0.129632392386,-0.49358813255,0,0,0,1,0,0,1,0,1,0,0
262,-2.02375967043,-0.0365804903967,2,4,0,1,0,0,1,0,0,1,1
263,1.68872979454,0.896527127983,1,1,0,1,1,0,0,0,0,1,0
264,0.779548701076,-0.643426703748,0,0,0,1,1,0,0,0,0,1,0
265,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,0
266,0.476488336589,-0.440419607287,0,0,0,1,0,1,0,0,0,1,0
267,-1.03881348585,0.123891785854,1,4,0,1,0,0,1,0,0,1,0
268,-0.356927665751,-0.493104782321,0,1,0,1,0,0,1,0,0,1,1
269,2.14332034127,2.32361868109,1,0,1,0,1,0,0,0,0,1,1
270,0.400723245467,1.97890876449,0,0,1,0,1,0,0,0,0,1,1
271,0.93107888332,-0.0440724189566,0,0,0,1,1,0,0,0,0,1,0
272,-0.356927665751,-0.643426703748,0,0,0,1,0,0,1,0,0,1,1
273,0.855313792198,-0.266413524605,1,0,1,0,0,1,0,0,0,1,1
274,0.552253427711,-0.0692066308995,1,0,0,1,1,0,0,1,0,0,0
275,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
276,2.52214579688,0.863819784641,0,1,1,0,1,0,0,0,0,1,1
277,1.15837415668,-0.49358813255,0,0,1,0,0,0,1,0,0,1,0
278,0.249193063223,-0.643426703748,0,0,0,1,0,1,0,0,0,1,0
279,-1.72069930594,-0.0803236861819,1,4,0,1,0,0,1,0,1,0,0
280,0.400723245467,-0.251913017715,1,1,1,0,0,0,1,0,0,1,1
281,2.67367597912,-0.49358813255,0,0,0,1,0,0,1,0,1,0,0
282,-0.129632392386,-0.491573528793,0,0,0,1,0,0,1,0,0,1,0
283,-1.03881348585,-0.459753616473,0,0,0,1,0,0,1,0,0,1,0
284,-0.811518212482,-0.487787929794,0,0,0,1,0,0,1,0,0,1,1
285,0.93107888332,-0.140742464891,0,0,0,1,1,0,0,0,0,1,0
286,0.249193063223,-0.475945849167,0,0,0,1,0,0,1,1,0,0,0
287,0.021897789858,-0.459753616473,0,0,0,1,0,0,1,0,0,1,1
288,-0.584222939116,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
289,0.93107888332,-0.392084584319,0,0,0,1,0,1,0,0,0,1,1
290,-0.584222939116,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
291,-0.281162574629,0.881059920633,0,0,1,0,1,0,0,0,0,1,1
292,-0.811518212482,1.11749938578,0,1,1,0,1,0,0,1,0,0,1
293,0.476488336589,-0.394501335468,0,0,0,1,0,1,0,1,0,0,0
294,-0.432692756873,-0.472320722445,0,0,1,0,0,0,1,0,0,1,0
295,-0.432692756873,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
296,0.93107888332,-0.107472501882,0,0,0,1,1,0,0,1,0,0,0
297,-0.470575302434,-0.503657284535,0,0,0,1,0,0,1,1,0,0,0
298,-2.09952476155,2.28664238852,2,1,1,0,1,0,0,0,0,1,0
299,0.93107888332,-0.05373942355,0,0,0,1,1,0,0,0,0,1,1
300,1.53719961229,4.14214271738,1,0,1,0,1,0,0,1,0,0,1
301,-0.281162574629,-0.49358813255,0,0,1,0,0,0,1,0,1,0,1
302,-0.129632392386,-0.193910990155,0,2,0,1,0,0,1,0,1,0,1
303,-0.811518212482,-0.643426703748,0,0,0,1,0,0,1,0,0,1,0
304,0.0976628809798,-0.404651690291,0,0,1,0,0,1,0,0,1,0,1
305,-0.129632392386,-0.487787929794,0,0,0,1,0,0,1,0,0,1,0
306,-2.18135105996,2.28664238852,2,1,0,1,1,0,0,0,0,1,1
307,0.628018518832,1.50039203712,0,0,1,0,1,0,0,1,0,0,1
308,-0.963048394725,1.4620468967,0,1,1,0,1,0,0,1,0,0,1
309,0.021897789858,-0.179410483264,0,1,0,1,0,1,0,1,0,0,0
310,0.021897789858,0.45724297205,0,0,1,0,1,0,0,1,0,0,1
311,-0.432692756873,0.964356632413,0,0,1,0,1,0,0,1,0,0,1
312,-0.887283303604,4.42933395665,2,2,1,0,1,0,0,1,0,0,1
313,-0.281162574629,-0.140742464891,1,1,1,0,0,1,0,0,0,1,0
314,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
315,1.00684397444,-0.135908962594,1,1,0,1,0,1,0,0,0,1,0
316,-0.281162574629,-0.491573528793,0,0,1,0,0,0,1,0,0,1,1
317,-0.432692756873,-0.140742464891,0,1,1,0,0,1,0,0,0,1,1
318,1.84025997678,-0.372750575133,0,0,0,1,0,1,0,0,0,1,0
319,0.0976628809798,2.54410758865,2,0,1,0,1,0,0,0,0,1,1
320,0.779548701076,1.95699753188,1,1,1,0,1,0,0,1,0,0,1
321,-0.584222939116,-0.503255137144,0,0,0,1,0,0,1,0,0,1,0
322,-0.205397483507,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
323,0.021897789858,-0.404651690291,0,0,1,0,0,1,0,0,1,0,1
324,-0.584222939116,-0.0827404373303,1,1,1,0,0,1,0,0,0,1,1
325,-0.129632392386,0.701253635196,2,8,0,1,0,0,1,0,0,1,0
326,0.476488336589,1.97890876449,0,0,1,0,1,0,0,1,0,0,1
327,2.37061561463,-0.522830821445,0,0,0,1,0,0,1,0,0,1,0
328,0.476488336589,-0.392084584319,0,0,1,0,0,1,0,0,0,1,1
329,0.0976628809798,-0.246596165189,1,1,1,0,0,0,1,0,0,1,1
330,-1.03881348585,0.477543681697,1,0,1,0,1,0,0,1,0,0,1
331,-0.281162574629,-0.193910990155,0,2,1,0,0,0,1,0,1,0,1
332,1.19625670225,-0.0924074419237,0,0,0,1,1,0,0,0,0,1,0
333,0.628018518832,2.32361868109,1,0,0,1,1,0,0,0,0,1,0
334,-1.03881348585,-0.295414538385,0,2,0,1,0,0,1,0,0,1,0
335,0.628018518832,1.94056362407,0,1,1,0,1,0,0,0,0,1,1
336,-0.129632392386,-0.490769234011,0,0,0,1,0,0,1,0,0,1,0
337,-0.0538673012638,0.644218308094,0,1,0,1,1,0,0,0,0,1,0
338,0.855313792198,1.95699753188,0,0,1,0,1,0,0,1,0,0,1
339,1.15837415668,-0.487787929794,0,0,0,1,0,0,1,0,0,1,1
340,1.15837415668,0.0429306223841,0,0,0,1,1,0,0,0,0,1,0
341,-2.09952476155,-0.140742464891,1,1,0,1,0,1,0,0,0,1,1
342,-0.432692756873,4.44141771239,2,3,1,0,1,0,0,0,0,1,1
343,-0.129632392386,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
344,-0.356927665751,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
345,0.476488336589,-0.392084584319,0,0,0,1,0,1,0,0,0,1,0
346,-0.432692756873,-0.392084584319,0,0,1,0,0,1,0,0,0,1,1
347,0.779548701076,-0.392084584319,0,0,1,0,0,1,0,0,0,1,1
348,-0.281162574629,-0.33214915584,0,1,1,0,0,0,1,0,0,1,1
349,-2.02375967043,-0.336015957678,1,1,0,1,0,0,1,0,0,1,1
350,0.93107888332,-0.475945849167,0,0,0,1,0,0,1,0,0,1,0
351,-0.508457847995,-0.465070469,0,0,0,1,0,0,1,0,0,1,0
